Regulator,Target,Eligible
b0032,b0033,True
b0032,b0068,True
b0032,b0071,True
b0032,b0072,True
b0032,b0073,True
b0032,b0074,True
b0032,b0150,True
b0032,b0199,True
b0032,b0273,True
b0032,b0287,True
b0032,b0296,True
b0032,b0325,True
b0032,b0329,True
b0032,b0331,True
b0032,b0333,True
b0032,b0334,True
b0032,b0335,True
b0032,b0336,True
b0032,b0337,True
b0032,b0346,True
b0032,b0382,True
b0032,b0384,True
b0032,b0431,True
b0032,b0450,True
b0032,b0453,True
b0032,b0485,True
b0032,b0486,True
b0032,b0523,True
b0032,b0543,True
b0032,b0544,True
b0032,b0545,True
b0032,b0546,True
b0032,b0557,True
b0032,b0564,True
b0032,b0565,True
b0032,b0571,True
b0032,b0572,True
b0032,b0573,True
b0032,b0574,True
b0032,b0575,True
b0032,b0581,True
b0032,b0583,True
b0032,b0584,True
b0032,b0585,True
b0032,b0586,True
b0032,b0593,True
b0032,b0594,True
b0032,b0595,True
b0032,b0596,True
b0032,b0597,True
b0032,b0607,True
b0032,b0621,True
b0032,b0623,True
b0032,b0643,True
b0032,b0699,True
b0032,b0707,True
b0032,b0721,True
b0032,b0722,True
b0032,b0723,True
b0032,b0753,True
b0032,b0774,True
b0032,b0775,True
b0032,b0776,True
b0032,b0777,True
b0032,b0778,True
b0032,b0790,True
b0032,b0801,True
b0032,b0804,True
b0032,b0805,True
b0032,b0811,True
b0032,b0812,True
b0032,b0833,True
b0032,b0836,True
b0032,b0849,True
b0032,b0854,True
b0032,b0860,True
b0032,b0865,True
b0032,b0871,True
b0032,b0880,True
b0032,b0894,True
b0032,b0895,True
b0032,b0896,True
b0032,b0897,True
b0032,b0929,True
b0032,b0953,True
b0032,b0989,True
b0032,b0990,True
b0032,b0991,True
b0032,b1002,True
b0032,b1003,True
b0032,b1004,True
b0032,b1018,True
b0032,b1019,True
b0032,b1020,True
b0032,b1038,True
b0032,b1039,True
b0032,b1040,True
b0032,b1041,True
b0032,b1042,True
b0032,b1044,True
b0032,b1051,True
b0032,b1070,True
b0032,b1071,True
b0032,b1072,True
b0032,b1073,True
b0032,b1074,True
b0032,b1075,True
b0032,b1076,True
b0032,b1077,True
b0032,b1078,True
b0032,b1079,True
b0032,b1080,True
b0032,b1081,True
b0032,b1082,True
b0032,b1083,True
b0032,b1102,True
b0032,b1110,True
b0032,b1112,True
b0032,b1143,True
b0032,b1145,True
b0032,b1163,True
b0032,b1164,True
b0032,b1165,True
b0032,b1166,True
b0032,b1167,True
b0032,b1172,True
b0032,b1178,True
b0032,b1188,True
b0032,b1194,True
b0032,b1195,True
b0032,b1197,True
b0032,b1223,True
b0032,b1224,True
b0032,b1241,True
b0032,b1243,True
b0032,b1244,True
b0032,b1247,True
b0032,b1256,True
b0032,b1258,True
b0032,b1259,True
b0032,b1264,True
b0032,b1283,True
b0032,b1297,True
b0032,b1298,True
b0032,b1300,True
b0032,b1301,True
b0032,b1302,True
b0032,b1331,True
b0032,b1332,True
b0032,b1341,True
b0032,b1374,True
b0032,b1375,True
b0032,b1376,True
b0032,b1378,True
b0032,b1380,True
b0032,b1384,True
b0032,b1415,True
b0032,b1420,True
b0032,b1422,True
b0032,b1423,True
b0032,b1426,True
b0032,b1440,True
b0032,b1441,True
b0032,b1443,True
b0032,b1444,True
b0032,b1452,True
b0032,b1478,True
b0032,b1480,True
b0032,b1481,True
b0032,b1482,True
b0032,b1487,True
b0032,b1488,True
b0032,b1492,True
b0032,b1493,True
b0032,b1498,True
b0032,b1518,True
b0032,b1519,True
b0032,b1536,True
b0032,b1541,True
b0032,b1550,True
b0032,b1551,True
b0032,b1552,True
b0032,b1556,True
b0032,b1557,True
b0032,b1558,True
b0032,b1566,True
b0032,b1587,True
b0032,b1593,True
b0032,b1597,True
b0032,b1656,True
b0032,b1674,True
b0032,b1684,True
b0032,b1705,True
b0032,b1729,True
b0032,b1732,True
b0032,b1747,True
b0032,b1748,True
b0032,b1783,True
b0032,b1784,True
b0032,b1795,True
b0032,b1836,True
b0032,b1857,True
b0032,b1878,True
b0032,b1880,True
b0032,b1881,True
b0032,b1882,True
b0032,b1883,True
b0032,b1884,True
b0032,b1885,True
b0032,b1886,True
b0032,b1887,True
b0032,b1888,True
b0032,b1889,True
b0032,b1890,True
b0032,b1891,True
b0032,b1892,True
b0032,b1896,True
b0032,b1897,True
b0032,b1902,True
b0032,b1904,True
b0032,b1905,True
b0032,b1906,True
b0032,b1920,True
b0032,b1921,True
b0032,b1922,True
b0032,b1923,True
b0032,b1924,True
b0032,b1925,True
b0032,b1926,True
b0032,b1930,True
b0032,b1937,True
b0032,b1938,True
b0032,b1939,True
b0032,b1940,True
b0032,b1941,True
b0032,b1942,True
b0032,b1943,True
b0032,b1944,True
b0032,b1945,True
b0032,b1946,True
b0032,b1947,True
b0032,b1948,True
b0032,b1949,True
b0032,b1950,True
b0032,b1951,True
b0032,b1953,True
b0032,b1967,True
b0032,b1973,True
b0032,b2000,True
b0032,b2035,True
b0032,b2036,True
b0032,b2080,True
b0032,b2086,True
b0032,b2091,True
b0032,b2092,True
b0032,b2093,True
b0032,b2094,True
b0032,b2095,True
b0032,b2096,True
b0032,b2097,True
b0032,b2103,True
b0032,b2104,True
b0032,b2106,True
b0032,b2111,True
b0032,b2127,True
b0032,b2131,True
b0032,b2135,True
b0032,b2148,True
b0032,b2149,True
b0032,b2150,True
b0032,b2155,True
b0032,b2168,True
b0032,b2169,True
b0032,b2207,True
b0032,b2208,True
b0032,b2210,True
b0032,b2240,True
b0032,b2241,True
b0032,b2242,True
b0032,b2243,True
b0032,b2266,True
b0032,b2302,True
b0032,b2309,True
b0032,b2310,True
b0032,b2352,True
b0032,b2378,True
b0032,b2422,True
b0032,b2423,True
b0032,b2424,True
b0032,b2425,True
b0032,b2464,True
b0032,b2465,True
b0032,b2497,True
b0032,b2499,True
b0032,b2518,True
b0032,b2535,True
b0032,b2579,True
b0032,b2597,True
b0032,b2659,True
b0032,b2660,True
b0032,b2661,True
b0032,b2662,True
b0032,b2665,True
b0032,b2669,True
b0032,b2670,True
b0032,b2672,True
b0032,b2673,True
b0032,b2674,True
b0032,b2675,True
b0032,b2676,True
b0032,b2677,True
b0032,b2678,True
b0032,b2679,True
b0032,b2702,True
b0032,b2703,True
b0032,b2704,True
b0032,b2727,True
b0032,b2751,True
b0032,b2752,True
b0032,b2762,True
b0032,b2763,True
b0032,b2764,True
b0032,b2809,True
b0032,b2818,True
b0032,b2869,True
b0032,b2924,True
b0032,b2942,True
b0032,b2957,True
b0032,b2971,True
b0032,b2975,True
b0032,b2976,True
b0032,b2977,True
b0032,b2979,True
b0032,b2980,True
b0032,b2996,True
b0032,b2997,True
b0032,b3003,True
b0032,b3024,True
b0032,b3073,True
b0032,b3089,True
b0032,b3117,True
b0032,b3118,True
b0032,b3153,True
b0032,b3158,True
b0032,b3159,True
b0032,b3239,True
b0032,b3268,True
b0032,b3336,True
b0032,b3337,True
b0032,b3365,True
b0032,b3366,True
b0032,b3367,True
b0032,b3426,True
b0032,b3453,True
b0032,b3458,True
b0032,b3460,True
b0032,b3476,True
b0032,b3487,True
b0032,b3491,True
b0032,b3494,True
b0032,b3495,True
b0032,b3506,True
b0032,b3507,True
b0032,b3508,True
b0032,b3509,True
b0032,b3510,True
b0032,b3511,True
b0032,b3512,True
b0032,b3513,True
b0032,b3516,True
b0032,b3517,True
b0032,b3523,True
b0032,b3525,True
b0032,b3528,True
b0032,b3540,True
b0032,b3541,True
b0032,b3542,True
b0032,b3543,True
b0032,b3544,True
b0032,b3547,True
b0032,b3555,True
b0032,b3556,True
b0032,b3566,True
b0032,b3570,True
b0032,b3588,True
b0032,b3603,True
b0032,b3654,True
b0032,b3661,True
b0032,b3666,True
b0032,b3686,True
b0032,b3708,True
b0032,b3709,True
b0032,b3744,True
b0032,b3748,True
b0032,b3751,True
b0032,b3774,True
b0032,b3828,True
b0032,b3829,True
b0032,b3845,True
b0032,b3846,True
b0032,b3901,True
b0032,b3902,True
b0032,b3903,True
b0032,b3904,True
b0032,b3905,True
b0032,b3906,True
b0032,b3907,True
b0032,b3926,True
b0032,b3927,True
b0032,b3941,True
b0032,b3945,True
b0032,b3958,True
b0032,b3990,True
b0032,b3991,True
b0032,b3992,True
b0032,b3993,True
b0032,b3994,True
b0032,b4011,True
b0032,b4013,True
b0032,b4014,True
b0032,b4015,True
b0032,b4016,True
b0032,b4026,True
b0032,b4030,True
b0032,b4032,True
b0032,b4033,True
b0032,b4034,True
b0032,b4035,True
b0032,b4036,True
b0032,b4037,True
b0032,b4045,True
b0032,b4060,True
b0032,b4062,True
b0032,b4064,True
b0032,b4067,True
b0032,b4068,True
b0032,b4069,True
b0032,b4107,True
b0032,b4110,True
b0032,b4111,True
b0032,b4116,True
b0032,b4122,True
b0032,b4123,True
b0032,b4126,True
b0032,b4128,True
b0032,b4139,True
b0032,b4149,True
b0032,b4151,True
b0032,b4152,True
b0032,b4153,True
b0032,b4154,True
b0032,b4187,True
b0032,b4188,True
b0032,b4189,True
b0032,b4239,True
b0032,b4240,True
b0032,b4244,True
b0032,b4245,True
b0032,b4254,True
b0032,b4293,True
b0032,b4314,True
b0032,b4315,True
b0032,b4316,True
b0032,b4335,True
b0032,b4354,True
b0032,b4355,True
b0032,b4367,True
b0032,b4376,True
b0032,b4380,True
b0032,b4407,True
b0032,b4411,True
b0032,b4428,True
b0032,b4467,True
b0032,b4468,True
b0032,b4484,True
b0032,b4490,True
b0032,b4493,True
b0032,b4506,True
b0032,b4511,True
b0032,b4518,True
b0032,b4519,True
b0032,b4567,True
b0032,b4568,True
b0032,b4589,True
b0032,b4662,True
b0032,b4671,True
b0032,b4705,True
b0032,b4711,True
b0032,b4720,True
b0032,b4721,True
b0032,b4723,True
b0032,b4724,True
b0032,b4735,True
b0032,b4742,True
b0032,b4743,True
b0032,b4744,True
b0032,b4748,True
b0032,b4755,True
b0032,b4756,True
b0033,b0032,True
b0033,b0068,True
b0033,b0071,True
b0033,b0072,True
b0033,b0073,True
b0033,b0074,True
b0033,b0150,True
b0033,b0199,True
b0033,b0273,True
b0033,b0287,True
b0033,b0296,True
b0033,b0325,True
b0033,b0329,True
b0033,b0331,True
b0033,b0333,True
b0033,b0334,True
b0033,b0335,True
b0033,b0336,True
b0033,b0337,True
b0033,b0346,True
b0033,b0382,True
b0033,b0384,True
b0033,b0431,True
b0033,b0450,True
b0033,b0453,True
b0033,b0485,True
b0033,b0486,True
b0033,b0523,True
b0033,b0543,True
b0033,b0544,True
b0033,b0545,True
b0033,b0546,True
b0033,b0557,True
b0033,b0564,True
b0033,b0565,True
b0033,b0571,True
b0033,b0572,True
b0033,b0573,True
b0033,b0574,True
b0033,b0575,True
b0033,b0581,True
b0033,b0583,True
b0033,b0584,True
b0033,b0585,True
b0033,b0586,True
b0033,b0593,True
b0033,b0594,True
b0033,b0595,True
b0033,b0596,True
b0033,b0597,True
b0033,b0607,True
b0033,b0621,True
b0033,b0623,True
b0033,b0643,True
b0033,b0699,True
b0033,b0707,True
b0033,b0721,True
b0033,b0722,True
b0033,b0723,True
b0033,b0753,True
b0033,b0774,True
b0033,b0775,True
b0033,b0776,True
b0033,b0777,True
b0033,b0778,True
b0033,b0790,True
b0033,b0801,True
b0033,b0804,True
b0033,b0805,True
b0033,b0811,True
b0033,b0812,True
b0033,b0833,True
b0033,b0836,True
b0033,b0849,True
b0033,b0854,True
b0033,b0860,True
b0033,b0865,True
b0033,b0871,True
b0033,b0880,True
b0033,b0894,True
b0033,b0895,True
b0033,b0896,True
b0033,b0897,True
b0033,b0929,True
b0033,b0953,True
b0033,b0989,True
b0033,b0990,True
b0033,b0991,True
b0033,b1002,True
b0033,b1003,True
b0033,b1004,True
b0033,b1018,True
b0033,b1019,True
b0033,b1020,True
b0033,b1038,True
b0033,b1039,True
b0033,b1040,True
b0033,b1041,True
b0033,b1042,True
b0033,b1044,True
b0033,b1051,True
b0033,b1070,True
b0033,b1071,True
b0033,b1072,True
b0033,b1073,True
b0033,b1074,True
b0033,b1075,True
b0033,b1076,True
b0033,b1077,True
b0033,b1078,True
b0033,b1079,True
b0033,b1080,True
b0033,b1081,True
b0033,b1082,True
b0033,b1083,True
b0033,b1102,True
b0033,b1110,True
b0033,b1112,True
b0033,b1143,True
b0033,b1145,True
b0033,b1163,True
b0033,b1164,True
b0033,b1165,True
b0033,b1166,True
b0033,b1167,True
b0033,b1172,True
b0033,b1178,True
b0033,b1188,True
b0033,b1194,True
b0033,b1195,True
b0033,b1197,True
b0033,b1223,True
b0033,b1224,True
b0033,b1241,True
b0033,b1243,True
b0033,b1244,True
b0033,b1247,True
b0033,b1256,True
b0033,b1258,True
b0033,b1259,True
b0033,b1264,True
b0033,b1283,True
b0033,b1297,True
b0033,b1298,True
b0033,b1300,True
b0033,b1301,True
b0033,b1302,True
b0033,b1331,True
b0033,b1332,True
b0033,b1341,True
b0033,b1374,True
b0033,b1375,True
b0033,b1376,True
b0033,b1378,True
b0033,b1380,True
b0033,b1384,True
b0033,b1415,True
b0033,b1420,True
b0033,b1422,True
b0033,b1423,True
b0033,b1426,True
b0033,b1440,True
b0033,b1441,True
